sample,MYCN,RET,KIT,PROM1,PTRH2,TLE5,TLE1,GAPDH,TCF7,RELA,RPL30,PSMC5,WDTC1,RRP1,HNRNPL,PCBP1,RER1,A2ML1,ZFHX3
GTEX-ZYW4-0326-SM-5E44Y,1.714,-2.727,2.196,-2.466,4.31,9.36,7.165,10.76,2.431,6.272,11.36,7.127,4.251,3.784,7.921,7.612,6.87,0.0854,2.224
GTEX-139T8-0526-SM-5KLZL,-3.816,-0.4325,-0.3022,-0.6643,3.157,9.406,6.382,12.7,-1.181,5.827,11.26,7.468,5.647,4.18,7.085,8.52,6.257,-3.816,2.441
GTEX-QDVJ-2126-SM-5S2U2,-3.626,-3.458,1.455,-0.2498,3.627,8.862,5.503,11.77,-0.4521,6.487,10.85,7.284,4.605,3.928,7.604,8.564,6.458,-4.293,4.233
GTEX-P44G-0006-SM-2TC6A,-9.966,-4.608,-4.293,-3.458,-0.1031,6.832,1.892,11.7,1.233,4.933,8.739,4.612,3.315,1.138,5.823,7.499,4.684,-6.506,-4.608
TCGA-BR-7703-01,-2.635,-3.171,-3.047,4.793,5.378,8.996,5.275,11.94,2.886,5.419,11.01,6.594,3.898,4.388,7.604,8.15,7.01,-3.047,1.406
TCGA-CV-7406-11,-3.047,-1.392,-0.7108,1.043,4.079,8.009,2.761,12.8,1.614,4.936,10.07,6.596,4.542,3.926,6.493,8.014,5.67,6.755,0.0014
TCGA-AL-3471-01,-0.9406,-2.548,2.108,1.595,4.423,8.81,3.377,11.86,-0.013,4.491,10.33,6.626,4.316,2.529,7.1,7.189,5.561,-9.966,1.576
GTEX-P4QT-0008-SM-48TDZ,-4.608,-3.308,-2.826,-1.938,5.175,8.061,2.251,12.45,1.941,5.455,11.05,6.824,3.637,4.192,7.624,7.814,7.508,0.537,1.252
GTEX-145LT-0326-SM-5LUAD,-5.574,-1.214,1.417,-2.245,4.243,9.325,4.285,10.8,0.4233,6.556,10.81,7.174,4.72,4.288,7.866,8.65,6.831,-4.293,2.293
GTEX-OHPK-1526-SM-3MJGM,0.6239,-0.6873,3.658,3.377,3.655,7.964,5.015,9.599,1.714,5.318,10.08,6.318,4.539,3.192,6.839,7.038,6.496,-3.816,0.4447
GTEX-Y3I4-1326-SM-4TT8Z,-2.548,-0.013,2.544,0.8961,3.593,8.652,4.884,10.04,-0.0277,5.624,10.35,6.631,4.388,2.856,6.885,7.265,5.452,-4.293,1.997
GTEX-ZF28-2926-SM-4WKG1,-1.056,0.4125,1.288,0.5666,2.747,9.463,4.384,10.11,-0.0425,5.487,9.02,6.727,4.324,3.069,6.687,6.848,5.605,-1.086,-0.9406
GTEX-Y5V6-1926-SM-5IFIL,-1.47,4.266,-0.5756,-1.248,4.161,9.157,4.538,10.94,1.956,5.05,10.12,6.983,4.752,3.496,6.654,8.03,7.16,-0.8084,1.373
GTEX-11ONC-0126-SM-5PNW6,-4.293,-2.245,-2.466,1.719,2.462,7.942,2.755,10.8,-2.053,4.561,9.48,5.624,2.541,1.888,5.391,4.567,4.481,-5.574,-0.6873
TCGA-YT-A95D-01,1.506,-4.035,0.6332,1.396,3.615,9.947,4.724,9.967,5.057,5.865,11.67,7.457,6.179,4.137,7.726,8.353,6.236,-3.458,3.511
TCGA-FL-A1YL-11,1.434,0.3231,2.313,5.596,4.496,9.346,5.795,10.01,2.828,5.993,11.98,6.941,5.149,4.013,7.535,8.335,6.136,-4.608,1.848
TCGA-E9-A1RG-01,-3.171,-1.355,1.566,1.66,5.061,8.062,3.784,12.24,2.493,5.484,11.78,7.593,3.931,4.221,7.679,7.743,6.688,-2.388,0.6608
TCGA-YF-AA3M-01,-1.639,-3.816,1.036,0.9493,5.603,8.505,1.799,12.82,3.596,6.417,11.62,8.144,4.817,6.407,8.506,7.953,7.095,1.6,0.3685
TCGA-E2-A15I-11,-3.047,1.345,4.664,3.072,3.091,7.341,5.392,9.482,3.172,4.929,11.06,6.407,4.926,2.609,7.015,7.678,6.617,-3.308,1.396
TCGA-G9-6385-01,-4.608,2.42,0.3907,1.701,4.868,8.927,4.684,10.79,3.03,5.754,11.24,7.292,5.153,4.103,7.577,7.834,6.416,-0.8084,3.006
TCGA-24-1413-01,2.826,0.8082,-1.181,2.433,5.124,8.227,4.732,12.27,4.861,6.508,12.45,6.583,4.759,3.507,7.006,8.058,6.352,-2.727,2.519
TCGA-EE-A2MU-06,-1.117,-3.626,1.221,-0.8339,5.202,8.506,5.343,12.32,2.514,5.475,10.61,7.361,5.608,4.806,7.954,9.187,7.211,-5.574,1.151
TCGA-AB-2981-03,1.982,-1.117,3.328,3.119,5.228,7.853,2.428,11.43,2.406,6.018,10.7,6.913,5.363,4.291,8.016,8.341,6.784,-1.994,3.149
TCGA-44-2656-01,-5.823,-3.087,2.218,-1.046,3.999,6.428,3.93,9.449,2.15,4.476,10.8,5.941,3.574,3.368,6.721,6.574,6.21,-7.85,1.258
GTEX-13G51-1826-SM-5KLZH,0.9642,-0.5543,2.148,0.537,3.688,8.6,4.269,10.62,3.268,5.933,11.27,7.063,4.936,4.744,7.691,7.761,6.75,6.555,0.8246
TCGA-A6-5656-01,-3.406,-2.073,0.7692,4.254,4.075,6.499,3.345,10.02,4.448,3.572,11.06,5.372,3.443,3.906,6.786,6.344,5.465,-2.388,2.23
TCGA-43-8115-01,0.7664,-0.7346,1.934,-0.1993,4.618,8.305,4.371,12.26,3.805,5.687,10.48,7.559,5.088,4.932,8.183,8.87,6.476,1.196,3.178
TCGA-3A-A9IX-01,-1.318,-0.1828,2.649,5.542,4.14,8.654,4.62,10.14,4.002,5.378,10.95,6.506,4.615,3.718,7.351,7.702,6.132,0.044,1.749
TCGA-EI-6884-01,-2.114,-0.1504,1.84,6.986,4.471,8.243,5.458,11.76,4.555,5.959,11.56,6.943,5.313,5.086,7.878,7.671,6.973,-9.966,0.8327
TCGA-DU-6402-01,0.1776,-0.4325,0.7832,3.414,4.979,9.161,5.987,12.92,2.414,5.993,10.47,7.895,4.796,4.974,7.766,7.775,6.735,1.158,1.501
TCGA-A2-A25B-01,-0.0277,0.5763,0.6969,-3.047,6.775,8.297,5.653,10.68,1.623,5.578,11.52,8.71,4.024,3.328,8.152,7.948,7.062,-3.308,2.848
TCGA-CZ-5461-11,1.036,-1.431,3.383,6.342,3.982,8.504,4.927,11.21,0.5859,5.218,9.958,7.39,4.893,3.034,7.5,8.126,6.417,-9.966,2.339
TCGA-Q1-A73P-01,1.779,-3.308,0.6608,6.477,4.336,8.817,5,11.66,4.476,5.749,11.18,7.563,5.11,4.551,8.019,8.359,6.755,-5.012,0.8883
TCGA-V4-A9EI-01,-0.7108,-3.458,5.896,-3.458,6.14,8.191,3.2,12.55,2.676,5.39,13.25,7.424,4.794,5.366,7.728,8.782,6.725,-9.966,-0.2845
GTEX-ZPCL-2126-SM-57WFZ,-5.574,-0.8339,2.118,-9.966,3.899,8.955,5.226,9.667,0.517,5.57,10.74,6.791,4.286,3.654,6.739,7.824,6.254,-3.626,2.705
TARGET-50-PAJMLI-01,6.479,0.1388,0.5763,2.342,4.213,8.141,6.797,11.54,2.991,5.901,11.89,6.664,5.733,3.678,8.056,8.24,5.508,-3.816,4.434
TARGET-50-PAJNEC-01,3.926,-1.595,0.4233,3.38,4.865,7.23,4.296,10.27,0.8082,3.666,11.46,4.403,1.239,0.6517,7.524,7.236,5.021,-9.966,0.4552
TCGA-ER-A3EV-06,-3.816,-0.9406,5.16,0.547,5.3,7,2.521,12.28,3.437,5.175,11.65,7.935,3.699,4.994,7.882,7.734,6.231,-2.466,0.2277
TCGA-E8-A413-01,0.346,-0.2671,2.945,2.221,4.164,9.171,3.903,10.45,3.936,5.364,11.31,7.087,5.062,3.798,7.446,7.852,6.407,-5.574,2.866
GTEX-WK11-0926-SM-3NMAU,1.439,2.018,3.801,1.036,3.59,9.695,5.396,10.56,2.799,5.623,11.09,7.249,5.273,3.562,7.811,7.563,6.53,-3.816,2.886
GTEX-1314G-0126-SM-5LZUL,-2.932,-0.7346,-0.1993,-0.2671,2.245,8.877,2.683,11.13,-1.431,4.768,9.241,5.793,3.962,2.111,5.894,6.143,4.474,-3.308,-0.3201
GTEX-XXEK-0826-SM-4BRWG,-0.8599,0.0854,3.129,1.799,2.69,7.596,4.511,8.572,1.816,4.699,9.548,5.513,4.206,3.334,6.499,5.911,5.72,-3.626,-0.3201
TCGA-BA-6871-01,2.89,-1.51,0.6517,-0.7108,4.014,8.097,4.277,14.94,1.015,5.759,11.74,6.573,4.103,4.811,8.171,8.55,5.86,3.901,0.9935
TCGA-HT-8104-01,2.791,-0.5125,3.678,3.418,4.784,8.457,5.246,12.13,2.078,5.88,10.16,7.789,4.46,4.687,7.961,7.626,6.525,3.225,1.896
GTEX-145MO-0726-SM-5NQB9,-4.035,-2.548,-1.149,-2.548,3.408,9.036,5.459,13,-1.47,5.398,10.5,7.517,5.263,3.669,6.496,8.47,5.886,-4.293,2.266
GTEX-REY6-0426-SM-2TF5G,-3.458,-3.626,4.514,-0.3022,3.65,9.314,4.996,10.33,3.887,6.382,10.63,6.905,5.252,3.281,7.814,7.777,6.747,-3.816,2.511
GTEX-P78B-0626-SM-2S1O5,1.714,-2.932,1.412,0.2642,4.109,10.26,6.021,10.93,2.772,6.384,10.93,7.103,5.49,4.234,7.745,8.065,6.264,3.605,2.524
GTEX-13OVJ-0011-R3b-SM-5P9H6,2.236,-1.51,0.3573,1.138,4.044,8.133,4.813,11.77,1.022,5.455,10.78,7.261,3.612,4.066,7.159,7.58,5.805,1.745,0.7146
GTEX-13D11-1526-SM-5J2NA,-5.012,-3.171,-2.826,1.455,2.89,9.408,2.915,11.36,0.7579,4.888,9.584,6.714,4.993,2.393,6.862,7.033,5.758,-1.639,0.688
TCGA-CC-A7IH-01,0.058,-5.574,-0.1828,-3.171,4.307,7.773,6.322,10.35,3.043,4.199,10.75,6.88,4.267,3.649,7.489,7.789,6.726,-9.966,1.434
GTEX-XQ8I-0008-SM-4WAWM,-9.966,-3.458,1.373,-2.388,4.698,8.387,2.639,11.91,-1.595,5.227,11.61,6.413,3.765,2.969,7.195,7.572,6.876,-3.308,1.417
GTEX-XQ8I-0626-SM-4BOPT,-5.574,-2.466,-0.8863,-2.466,4.668,8.87,5.587,12.48,-1.884,5.821,10.68,7.783,5.14,4.41,6.451,9.266,6.075,-6.506,2.514
GTEX-145MO-2226-SM-5Q5BN,-0.3752,-0.5125,2.299,3.842,2.511,8.12,4.675,9.284,0.4552,4.904,9.824,6.166,3.951,2.401,6.346,6.371,5.315,-4.293,0.7748
TCGA-A4-7585-01,-3.308,-3.171,0.1124,1.434,4.503,8.161,3.753,12.11,2.293,4.818,10.14,7.299,4.574,3.214,6.763,7.803,6.479,-9.966,1.19
GTEX-11TT1-2126-SM-5GU5Y,-2.114,-0.1031,3.16,2.637,4.845,8.295,5.076,11.64,1.151,5.917,11.77,7.394,4.397,4.396,7.17,7.764,6.838,-5.012,0.9493
TCGA-3A-A9IO-01,1.59,0.6239,-0.1828,0.4016,4.056,9.284,3.998,11.02,-0.0877,3.922,10.96,7.734,4.313,3.852,7.091,7.38,5.389,-9.966,1.423
TARGET-20-PASGWH-09,-0.7834,-2.826,2.376,-4.035,0.2762,7.322,0.9642,10.55,1.945,6.42,12.01,4.341,2.89,-0.9132,6.641,6.985,2.665,-6.506,-2.548
GTEX-XOTO-0011-R11B-SM-4B64O,-1.639,0.4233,1.345,-0.2328,2.766,10.28,4.004,10.87,-0.2845,4.916,9.741,7.556,4.715,3.521,7.693,7.523,5.807,-0.4325,-2.635
GTEX-QDVJ-0005-SM-2TC5X,-9.966,-1.685,-2.178,-1.639,2.694,8.32,3.672,11.75,2.449,5.271,9.578,5.991,4.53,2.639,7.422,7.728,5.987,-5.012,-1.639
GTEX-ZVZQ-0011-R9a-SM-51MRH,1.227,-0.0277,2.046,1.674,3.448,8.29,4.156,10.99,2.428,4.136,10.32,6.664,4.178,3.048,6.239,6.994,5.23,-0.6193,0.2762
TCGA-BP-5170-01,-2.932,-3.047,0.8164,4.549,3.963,7.719,3.819,12.57,1.008,5.417,11.76,6.727,3.97,3.574,6.699,8.079,6.04,-9.966,1.637
GTEX-X261-0011-R7A-SM-4E3JJ,-0.7834,-3.308,-1.392,1.449,2.053,7.107,3.632,9.987,-0.1828,3.598,8.609,5.384,2.614,1.571,4.379,5.318,4.052,0.2154,-0.6193
TCGA-FN-7833-01,3.256,3.881,1.481,1.34,4.488,7.665,5.123,11.34,1.926,6.237,10.71,7.796,4.961,4.564,7.736,7.702,6.205,1.379,1.647
TCGA-KN-8436-01,1.449,2.173,7.838,1.585,3.197,9.55,4.574,11.24,0.3231,4.31,9.705,5.95,3.983,3.862,7.148,7.079,5.083,-9.966,1.118
TCGA-C5-A8XK-01,-2.114,-5.012,-2.315,-9.966,4.73,8.032,3.614,12.26,3.126,5.108,10.95,7.302,4.525,5.527,7.689,7.876,6.627,0.6699,0.4865
TCGA-BD-A3EP-11,-6.506,0.4865,-1.685,0.9343,4.353,7.249,4.47,9.574,2.183,4.747,9.876,5.997,3.961,3.315,5.904,7.447,6.058,-9.966,0.24
GTEX-XPT6-0008-SM-4B64Q,-6.506,-3.308,0.6425,-5.012,4.981,8.67,3.125,12.25,-0.2328,5.582,11.3,6.412,4.141,4.374,7.464,7.709,7.259,-6.506,1.47
TCGA-A3-3363-01,-4.293,-4.608,2.033,7.53,4.668,8.645,4.74,11.48,1.164,5.369,10.65,6.127,4.719,3.152,7.771,8.101,6.607,-6.506,0.3796
GTEX-1399T-0526-SM-5J1NC,-2.727,-2.548,1.975,4.195,3.25,8.577,5.518,11.54,-0.7588,6.314,11.03,6.859,4.583,3.341,7.67,8.164,6.182,-0.4325,3.85
GTEX-13O3O-1626-SM-5KM1O,-4.293,-1.117,-2.932,-5.574,4.948,9.377,5.118,10.35,3.156,5.356,9.657,6.669,4.174,3.885,7.073,7.208,6.84,-5.574,1.444
GTEX-11P82-0626-SM-5PNYK,-1.552,-0.6193,4.722,1.66,3.516,9.423,5.037,10.67,-0.4719,5.799,10.7,7.456,4.981,3.027,7.519,7.72,6.015,-2.388,1.945
TCGA-HT-7473-01,3.296,3.53,1.001,2.071,3.988,7.057,4.969,11.41,3.923,5.895,10.69,7.267,5.004,3.788,7.476,7.598,6.131,3.792,2.616
TCGA-UY-A78N-01,2.703,-1.732,-2.388,-1.086,4.627,9.177,5.608,12.1,3.567,5.087,11.74,7.678,4.671,5.329,8.457,7.642,6.327,-3.626,3.129
TCGA-06-0645-01,1.455,2.696,0.1903,3.772,4.526,9.003,4.487,12.67,2.18,6.003,10.61,7.068,4.417,4.267,7.836,7.847,6.952,-3.047,0.9716
TCGA-AB-2884-03,2.105,-0.3752,5.681,5.251,4.726,8.47,4.302,11.94,4.326,6.106,11.16,6.884,5.595,4.2,8.327,8.184,6.56,-0.5125,2.164
TCGA-YD-A89C-06,4.084,-4.293,0.4761,-2.053,4.474,8.834,5.236,12.6,2.718,5.196,11.46,6.969,3.928,3.787,7.926,8.58,5.612,-6.506,1.651
TCGA-33-AASI-01,0.5955,-3.816,-0.7108,-3.816,4.959,9.017,3.096,11.36,2.665,5.373,11.85,6.889,3.742,3.751,7.857,8.29,6.421,-5.012,0.8327
GTEX-RU72-0726-SM-46MUW,-1.685,-1.732,2.311,-0.9686,4.539,8.696,4.112,11.79,2.632,5.666,10.88,7.179,4.56,5.037,8.056,8.107,7.146,8.023,0.8883
GTEX-13QBU-2426-SM-5LU4L,-5.012,-3.626,-3.047,-2.727,3.983,8.531,5.654,13.16,-1.781,5.547,10.38,7.588,4.825,3.786,6.966,8.391,5.842,-3.308,2.856
GTEX-ZVZP-0126-SM-5NQ6Q,-4.293,-2.466,2.141,2.526,4.131,8.539,5.284,11.2,-0.6193,6.189,11.64,7.17,3.43,2.842,6.732,7.957,6.708,-2.932,1.872
TCGA-BJ-A2N9-01,-0.1993,-3.626,3.813,2.787,3.936,9.337,3.579,11.6,2.776,4.341,11.39,7.293,4.333,3.208,7.503,7.637,5.964,-2.635,1.317
TCGA-BH-A1EO-11,-1.318,-1.355,2.177,-4.608,4.459,8.484,4.792,10.18,1.317,5.305,11.43,7.076,4.223,3.558,7.219,8.163,6.669,-3.816,1.345
TCGA-EE-A2M5-06,-4.608,-3.816,-3.171,-4.608,4.726,9.36,4.552,13.47,1.345,6.098,10.53,7.953,4.413,4.952,8.325,8.396,6.613,-0.0425,0.8726
GTEX-ZYY3-3026-SM-5GIEJ,-0.394,2.848,3.458,0.8408,3.152,10.11,4.406,11.03,0.4552,5.366,9.606,7.5,5.092,3.905,7.434,7.265,6.277,0.4125,-1.214
TCGA-HF-7131-01,1.19,-1.994,2.302,6.075,3.726,8.27,4.955,11.95,4.476,6.626,10.33,6.658,5.257,4.011,7.868,7.686,7.522,-5.574,1.665
GTEX-QV31-1026-SM-4R1K3,-9.966,-0.394,1.619,-0.1031,4.45,9.063,5.672,10.41,1.71,5.865,10.72,7.004,4.931,4.138,7.582,7.315,6.325,-2.548,2.932
GTEX-T6MO-0006-SM-32QOU,-9.966,-3.816,-2.826,-5.012,1.145,5.035,0.3573,9.725,1.915,3.272,7.598,3.376,4.794,-0.0277,4.933,7.014,4.546,-6.506,-4.293
TCGA-CF-A7I0-01,-0.1993,-1.994,0.6608,1.84,4.243,9.709,3.981,11.63,1.683,4.772,11.14,6.847,4.416,4.778,7.633,7.661,6.483,-3.047,2.088
GTEX-11XUK-0626-SM-5N9ES,-2.826,-1.214,-1.392,2.467,3.585,7.406,4.119,7.972,0.5069,4.618,9.982,5.65,3.293,3.348,5.391,6.414,5.521,-4.035,0.6145
TCGA-06-2565-01,1.688,2.17,1.749,3.479,4.867,9.829,4.075,12.43,2.278,6.109,10.51,7.468,4.679,5.199,8.511,7.81,7.157,-0.0877,2.043
TCGA-85-A4JC-01,1.609,-0.6873,-0.5543,2.233,5.11,7.826,3.456,12.32,2.753,5.501,11.2,7.17,3.703,4.222,7.486,8.033,6.071,6.394,-0.4719
TCGA-25-1625-01,1.233,-1.355,0.4447,6.29,3.806,8.45,5.628,12.5,2.272,6.15,12.1,6.267,4.983,4.9,7.481,8.119,7.074,-1.595,2.924
TCGA-WJ-A86L-01,-9.966,-1.086,-4.293,-4.608,4.526,7.482,5.084,10.01,1.501,4.733,9.888,6.253,3.904,3.036,6.233,6.65,6.461,-4.608,0.2029
TCGA-AB-2998-03,0.9716,1.546,5.786,-5.574,4.462,8.496,5.328,12.33,2.642,5.687,10.49,6.868,6.056,4.49,8.442,8.081,6.509,-3.626,4.611
TCGA-DX-AB2X-01,-4.293,-1.685,-2.932,-1.248,6.113,8.272,2.907,13.23,5.14,6.199,12.84,8.062,4.124,4.634,7.692,8.071,6.582,-9.966,1.164
TCGA-HC-A632-01,-6.506,0.03,1.151,-0.3566,4.779,8.675,5.438,10.33,2.903,5.525,12.6,7.007,4.327,3.644,7.809,7.548,6.016,-2.826,1.799
GTEX-OXRL-0326-SM-2I3F2,-3.171,-1.938,-2.178,-0.1031,1.868,9.117,2.625,11.67,0.3573,3.886,9.145,6.202,4.718,1.799,6.096,6.416,4.859,-2.932,0.2154
TCGA-A6-6649-01,0.5666,2.311,2.18,5.334,4.188,8.906,4.475,11.77,4.865,5.769,11.39,6.719,5.102,4.668,7.879,8.449,6.959,-1.639,2.173
TARGET-21-PAMYMA-09,-0.3022,-2.727,3.373,4.509,3.79,5.534,1.022,12.52,1.9,4.36,10.4,7.227,0.4865,3.539,5.103,9.214,7.524,-5.012,0.1388
TCGA-49-4506-01,-5.574,-2.245,-0.394,-3.047,5.57,8.034,3.583,12.4,0.605,3.835,12.14,5.781,1.151,2.911,6.912,6.749,6.544,-9.966,-1.781
TCGA-HT-8019-01,0.6969,1.688,3.315,1.753,3.988,9.563,4.969,11.74,-0.0574,4.066,9.002,7.418,5.034,3.962,6.636,7.196,5.074,1.305,-0.2328
GTEX-11EMC-0126-SM-5EGKV,-3.816,-1.117,4.253,2.022,3.692,8.637,4.843,9.724,1.59,6.703,10.8,6.168,4.716,2.949,7.913,7.822,5.918,-5.574,2.248
GTEX-12WSM-0011-R1a-SM-5LZW6,1.085,-1.026,4.356,1.506,3.406,8.454,4.143,10.71,-0.0574,3.351,8.559,6.26,3.723,3.018,5.755,5.917,4.65,-0.8863,-1.595
TCGA-BQ-5877-01,-4.608,-2.635,0.4761,0.8647,4.397,9.28,4.211,13.1,0.2154,5.986,11.1,7.281,4.939,4.357,7.605,8.651,5.99,-5.574,2.167
TCGA-AO-A03R-01,-4.293,-2.466,3.446,1.481,5.444,8.135,1.953,11.72,3.491,5.226,12.6,7.078,4.169,2.578,8.039,7.994,7.02,-2.315,0.099
TARGET-20-PASGWH-04,1.628,-2.932,3.438,-2.315,3.105,7.992,1.911,10.8,2.832,6.019,11.88,6.106,5.314,2.747,7.392,7.724,5.412,-2.245,-0.6873
GTEX-Y8E4-1526-SM-4WWDI,0.0014,1.357,3.486,2.362,2.88,8.26,4.248,9.526,1.439,5.208,10.11,6.386,4.225,3.151,6.674,7.012,5.566,-1.552,1.276
TCGA-B2-5633-01,-1.956,-3.626,1.221,5.312,3.026,7.423,3.113,11.08,2.194,4.521,9.409,5.694,3.946,3.15,6.453,7.053,5.675,-5.361,2.499
TCGA-13-1501-01,1.465,-1.086,-3.458,2.287,3.793,7.433,5.068,13.32,2.74,5.169,12.69,5.1,4.115,3.299,6.738,6.901,6.022,-0.6193,2.186
TCGA-XF-AAMX-01,-0.9132,-3.047,-2.635,-0.2845,6.072,8.814,5.691,11.44,2.566,6.21,10.79,8.584,4.874,6.152,7.851,8.449,8.111,3.457,1.692
TCGA-KC-A7FD-01,-4.035,-1.318,-1.248,-2.826,6.296,9.333,6.958,10.67,1.305,6.358,11.57,7.322,5.306,4.463,8.624,8.408,6.728,-1.994,3.098
TCGA-A2-A0ER-01,-2.315,5.653,1.252,0.1388,4.128,9.222,2.614,11.69,2.278,5.962,10.89,7.351,5.752,4.044,8.028,8.269,7.691,-6.506,1.679
TCGA-IG-A8O2-01,-4.293,-2.178,-0.5756,-2.727,4.235,8.753,3.369,12.14,2.115,5.846,11.55,6.838,6.016,4.93,7.798,8.152,6.532,-3.047,4.105
TCGA-06-0130-01,-2.245,-1.781,-0.0277,0.6145,4.503,7.99,5.405,12.08,2.806,5.875,10.7,6.894,4.66,4.616,7.771,7.998,7.372,-3.171,1.696
TCGA-AX-A1C7-01,0.688,-1.431,-5.574,2.425,4.903,7.971,3.366,11.62,1.233,4.877,11.07,7.056,1.221,4.975,7.589,5.647,5.22,-4.608,-0.8863
GTEX-WWYW-2826-SM-4MVOQ,-2.178,-0.4521,2.822,-1.884,3.05,9.85,5.419,9.483,0.2522,7.438,11.8,6.556,5.287,4.313,7.644,8.122,6.261,-4.293,1.791
TARGET-10-PARNSH-03,-5.574,-6.506,-6.506,-1.781,1.688,8.797,3.386,11.08,4.694,6.629,12.24,5.903,5.584,1.532,6.839,7.41,4.816,-4.035,4.462
TCGA-BP-4982-01,-0.2498,-1.51,2.772,3.077,3.827,8.441,4.694,12.47,2.108,5.771,10.65,7.06,4.944,3.83,7.455,8.497,6.587,-3.308,3.335
GTEX-11DXX-2526-SM-5H119,0.9789,-3.626,-1.248,-4.035,4.831,9.186,6.398,10.95,2.774,6.023,11.54,7.851,3.715,4.071,7.218,7.958,6.606,0.2154,1.791
TCGA-XF-A9T8-01,-3.308,-4.035,-0.2498,-4.293,5.025,9.224,4.742,12.47,0.2881,5.17,11.1,7.519,4.218,4.467,8.178,7.828,6.54,6.905,0.0158
TCGA-CZ-4864-11,1.171,-1.026,2.742,4.615,3.294,8.029,3.152,11.01,0.4761,4.575,9.671,7.112,4.598,2.607,6.826,7.659,6.24,-9.966,0.9862
GTEX-13IVO-0011-R3b-SM-5IJBJ,-0.5756,-2.178,0.7748,0.9568,2.173,7.852,3.909,9.725,-0.4325,3.705,8.361,5.288,2.878,1.428,4.859,6.23,3.469,0.03,-0.7108
TCGA-FS-A1Z4-06,-1.639,-1.51,4.636,-0.5543,4.253,9.093,2.602,11.49,5.442,6.29,11.55,6.61,5.451,5.823,8.306,8.132,6.713,-6.506,2.064
GTEX-Y3I4-1426-SM-4TT9C,-2.548,0.6239,3.105,0.434,3.339,8.903,5.12,10.28,-0.6416,5.586,10.65,6.822,4.733,2.964,6.852,7.768,5.549,-4.035,2.441
GTEX-Y8E5-0326-SM-57WBM,-1.831,-1.117,-0.2159,-0.0877,3.646,8.528,4.947,13.06,-1.214,5.575,11.27,7.941,3.736,3.558,6.47,8.535,5.776,-3.626,0.688
TCGA-RP-A695-06,-4.293,-0.6193,-3.816,-0.8084,5.541,8.216,3.977,10.82,0.2762,5.63,11.01,7.001,5.034,5.179,7.549,7.963,7.19,-9.966,-0.1665
GTEX-QLQW-0326-SM-447A8,-3.816,-1.318,0.3346,2.635,2.862,7.679,4.747,7.629,1.732,4.261,9.638,4.826,3.418,2.376,5.568,6.014,5.223,-3.047,0.2762
GTEX-12ZZZ-1226-SM-59HK1,1.305,-1.831,5.223,0.3573,3.24,9.646,5.14,10.36,2.576,5.728,11.33,7.31,5.159,3.379,7.735,7.74,6.641,-0.4719,3.055
TCGA-EM-A1YC-11,0.5666,-0.9406,3.325,-0.9971,3.858,9.553,3.597,10.92,2.892,4.83,11.02,6.941,4.324,2.705,7.478,7.388,5.372,-9.966,1.628
TCGA-66-2785-01,-1.781,-0.9686,-0.2328,-2.932,4.927,8.043,3.842,12.91,1.938,5.637,10.86,6.656,3.363,4.164,7.87,8.196,6.664,6.564,-0.0425
TCGA-25-1630-01,0.434,-1.117,-1.431,3.899,4.826,7.942,4.917,13.06,2.866,6.148,11.53,5.264,4.793,3.746,7.396,7.959,7.032,-3.626,2.37
TCGA-OL-A66K-01,-0.1345,4.822,2.211,1.907,4.995,8.954,3.469,10.3,1.585,5.438,11.42,7.337,4.539,4.664,7.691,8.39,6.702,-5.574,1.008
TCGA-P4-A5E8-01,-5.012,-6.506,-2.315,5.824,4.678,8.86,4.367,12.67,-0.5125,5.515,11.07,6.646,4.498,4.767,6.934,8.08,6.516,-6.506,1.852
GTEX-1399T-0426-SM-5PNVJ,-1.595,-2.727,-1.938,-0.4521,-0.3566,5.68,1.299,6.993,-5.574,2.189,7.079,2.901,1.125,-0.9132,3.498,3.928,2.524,-4.293,-1.283
TCGA-BH-A0B8-01,0.0158,3.148,1.486,-1.639,5.2,8.422,1.322,11.1,0.7916,5.755,11.86,7.251,4.151,4.094,7.476,8.11,6.542,-0.3752,3.113
GTEX-14A5H-3026-SM-5RQHV,-2.466,2.098,-0.6643,-1.781,4.771,8.721,3.68,10.97,2.66,6.257,9.839,6.922,3.946,4.222,7.206,7.451,6.4,3.597,2.111
TCGA-B4-5836-01,-1.994,-1.732,1.719,0.3231,4.586,8.807,4.719,12.73,1.605,5.812,10.65,7.064,5.036,3.918,7.652,8.584,7.115,-9.966,2.348
TARGET-20-PARIZR-03,-1.831,-5.574,4.271,0.5955,2.874,7.743,1.46,10.58,4.311,6.472,12.34,4.86,3.136,0.3346,6.657,7.025,3.957,-9.966,-0.4719
TCGA-C5-A2M2-01,3.067,-6.506,-2.245,8.46,4.699,9.219,5.144,11.97,3.799,5.706,11.14,7.515,4.986,4.185,8.316,8.517,7.007,1.77,1.993
GTEX-WRHU-0826-SM-3MJFN,-2.826,0.6699,0.3685,-0.9132,2.436,8.807,5.565,12.67,-1.283,4.356,9.715,6.276,5.204,2.621,6.356,8.11,5.119,-4.293,0.9935
TCGA-Q9-A6FW-01,-0.6643,-0.7588,1.753,6.3,4.591,8.157,4.705,10.78,3.568,6.349,10.27,6.437,4.767,3.549,7.07,9.13,6.587,8.383,2.337
