sample,MYCN,RET,KIT,PROM1,PTRH2,TLE5,TLE1,GAPDH,TCF7,RELA,RPL30,PSMC5,WDTC1,RRP1,HNRNPL,PCBP1,RER1,A2ML1,ZFHX3
GTEX-12BJ1-1426-SM-5BC5Q,-2.635,-3.171,4.262,0.3346,4.287,9.09,5.072,10.98,-0.4719,6.36,10.77,7.248,4.661,3.54,7.45,7.994,5.8,-2.245,2.714
GTEX-131XE-2026-SM-5LZW1,-3.458,1.151,2.373,-2.245,4.247,8.2,5.449,10.55,1.876,6.134,10.75,6.78,4.548,3.913,7.283,8.482,6.561,-2.178,1.561
GTEX-111FC-0326-SM-5GZZ1,-4.293,0.4447,-3.816,-2.245,2.208,8.873,4.264,12.82,-2.315,4.057,9.653,6.09,5.026,2.526,5.812,7.755,4.708,-3.308,0.3685
TCGA-E9-A3HO-01,-1.781,5.953,2.509,6.068,4.873,9.009,4.13,12.08,3.512,5.176,11.29,7.109,4.675,4.14,8.137,7.317,6.181,-4.035,0.6425
GTEX-XAJ8-1026-SM-47JY9,-3.308,-2.466,-2.245,-2.466,3.531,9.223,5.35,13.84,-1.026,5.081,10.1,7.297,4.743,3.245,6.195,8.302,5.132,-3.816,2.514
GTEX-XLM4-0011-R10A-SM-4AT5P,1.138,2.395,2.395,1.112,4.093,9.404,5.263,11.65,-0.2845,4.546,9.114,7.281,4.629,3.602,6.821,7.129,5.468,1.745,0.1648
TCGA-EY-A72D-01,4.687,-2.466,-0.9406,7.852,4.65,8.686,4.966,12.88,3.363,5.589,11.85,7.165,3.627,4.428,7.912,8.945,6.52,-6.506,2.245
TCGA-A6-A567-01,0.1388,-1.318,-0.5756,4.945,4.628,7.759,3.99,11.11,5.64,5.89,11.68,6.747,5.712,3.796,7.778,7.617,6.722,-6.506,1.808
TCGA-58-A46N-01,-3.308,-2.178,0.2998,-0.6873,5.389,8.904,5.1,13.43,0.8883,5.333,10.4,8.071,4.046,4.924,8.236,8.171,6.155,3.076,1.351
TCGA-D3-A3ML-06,1.145,-6.506,-2.178,0.4657,5.161,7.132,5.86,12.06,-2.635,5.387,12.67,7.199,4.322,4.877,7.398,8.091,6.054,-5.574,1.39
TCGA-BH-A0B0-01,1.614,4.898,1.979,1.527,3.883,8.654,3.718,12.15,3.359,5.826,11.37,6.627,5.328,4.03,7.586,8.181,7.33,-3.047,1.345
TCGA-IS-A3K8-01,-3.816,-4.608,-0.7108,1.158,5.124,9.179,4.095,11.76,1.357,5.885,11.52,7.113,3.676,3.835,7.262,8.013,4.918,-1.938,1.561
GTEX-XMD2-0006-SM-4WWEG,-6.506,-3.816,-4.035,-9.966,0.5271,7.682,2.025,10.69,4.263,5.279,8.671,4.977,4.176,2.157,6.607,7.734,4.187,-3.171,-3.047
GTEX-13SLW-0226-SM-5S2NA,-3.171,-0.1345,1.723,-1.831,3.563,8.392,4.893,10.29,0.8327,5.816,11.23,6.791,4.104,3.448,7.181,7.8,6.136,-2.826,1.522
GTEX-YBZK-0005-SM-59HKG,-4.608,-5.012,-2.635,-3.171,1.642,7.554,0.3115,8.736,5.369,3.951,8.756,4.518,4.067,1.345,5.635,6.796,4.834,-3.816,-2.548
GTEX-1399R-0126-SM-5IFEV,1.753,0.1124,4.498,2.903,3.589,9.31,4.958,10.28,2.465,5.764,10.87,7.033,4.946,3.351,7.623,7.77,6.346,-1.47,2.897
TCGA-CG-4466-01,-0.7834,-4.035,-0.7588,6.698,5.13,6.661,4.777,11.64,3.146,5.268,11.28,6.276,4.155,3.318,7.462,7.452,6.112,-2.727,2.406
TCGA-A3-3383-01,-4.608,-3.458,-0.013,4.824,4.381,8.66,3.586,12.5,1.276,5.33,11.54,7.211,3.454,3.895,7.506,8.072,6.397,-9.966,0.346
GTEX-13FHP-0226-SM-5K7WD,-1.181,0.3346,3.321,-3.458,4.07,8.601,5.252,10.44,1.732,6.258,11.47,6.712,4.472,2.909,7.267,8.677,6.532,-2.727,2.354
TCGA-NJ-A4YI-01,-2.178,-1.732,-1.47,-3.171,5.337,9.16,3.903,10.72,1.071,5.732,10.87,7.777,5.026,4.31,7.832,7.997,6.875,-6.506,1.804
TCGA-D8-A1XJ-01,-1.884,4.388,0.1124,4.842,4.051,8.358,5.694,12.75,0.679,5.715,11.55,6.399,3.953,4.574,8.068,8.043,6.779,-0.3383,2.595
TCGA-VT-A80J-01,-0.9132,-0.9132,0.8488,-1.552,4.981,8.392,1.88,11.48,4.556,6.042,11.57,7.539,5.106,4.807,8.034,7.833,6.28,-9.966,1.923
GTEX-R55G-0126-SM-48FDS,-0.8599,3.939,-1.283,-0.6416,4.158,9.289,4.896,11.06,2.17,5.131,10.1,6.866,4.933,3.519,7.394,8.019,7.212,-2.053,1.696
GTEX-Y5V5-2526-SM-4VBQ4,-1.732,-1.51,0.605,-1.392,3.851,8.353,3.66,13.42,-0.394,5.552,10.45,7.784,5.191,4.03,6.553,8.446,5.984,-3.458,1.84
GTEX-S32W-0004-SM-2XCE9,-5.012,-5.574,-4.035,-3.308,4.381,8.563,-2.466,13.24,6.419,5.747,11.6,7.078,5.333,4.687,8.218,8.814,5.97,-3.171,1.791
TCGA-BQ-5880-01,-5.012,-3.047,-2.245,1.385,4.232,8.233,2.888,12.19,1.595,4.319,10.34,6.934,3.986,2.63,6.569,7.762,5.516,-5.574,-0.4325
GTEX-W5WG-1626-SM-4LMKG,-0.1993,-4.293,1.368,-1.994,3.572,8.504,3.545,11.41,1.688,5.387,10.52,6.867,4.088,4.074,7.153,7.81,7.102,9.916,0.2277
TCGA-24-1845-01,-4.035,-0.1031,-5.574,-0.4921,4.428,7.986,3.156,12.19,1.098,5.769,11.14,5.95,3.878,3.641,6.502,6.536,6.191,-0.3566,0.5859
TCGA-AA-3516-11,-2.388,0.2154,1.379,5.624,3.195,8.708,4.502,10.75,1.824,5.126,10.03,6.308,4.794,2.47,7.089,8.051,7.006,-9.966,0.044
TARGET-10-PANIEU-03,-2.178,-5.012,-3.816,-0.5125,1.872,8.466,5.295,11.14,5.088,6.407,12.06,6.291,5.174,2.121,6.994,7.48,4.959,-9.966,4.147
GTEX-12ZZZ-0011-R10a-SM-5P9HC,0.3573,2.025,3.734,1.439,3.736,9.932,4.666,11.47,-0.4921,3.531,8.552,6.971,4.81,3.682,6.327,6.812,4.845,0.2762,-0.8339
TCGA-HU-A4GP-11,-3.047,2.257,4.162,1.705,3.412,8.803,5.305,10.57,1.705,5.823,10.75,6.474,4.899,2.791,6.895,7.766,5.714,-1.732,4.315
TCGA-J9-A8CK-01,-6.506,0.4016,0.0014,-0.6873,4.71,8.925,5.311,10.91,1.934,5.699,11.46,7.234,4.288,4.303,7.823,7.717,6.6,-3.047,2.043
TCGA-BA-6870-01,-1.781,2.091,0.4125,-1.181,4.034,7.691,3.676,11.59,1.556,5.853,11.2,6.782,3.489,3.903,7.098,7.899,6.432,3.474,0.058
GTEX-X4XY-0011-R8A-SM-46MVC,-1.181,-1.938,-1.639,0.8961,1.546,6.979,2.768,9.481,-1.392,3.539,9.321,5.327,2.108,1.125,4.556,4.901,3.214,-0.4521,-1.431
TCGA-EE-A2MP-06,-0.9971,-3.626,-1.552,-0.3022,5.216,8.563,4.858,12.45,3.814,5.671,10.6,7.26,5.362,4.811,7.718,8.132,7.019,-2.932,1.481
TCGA-MV-A51V-01,-0.1504,-4.608,-1.639,3.51,5.359,8.606,4.828,11.15,1.967,5.804,10.78,7.785,4.603,4.279,7.31,7.705,6.673,2.953,1.19
GTEX-13QJC-0011-R6a-SM-5S2VI,0.547,-1.149,0.434,-0.1031,3.361,8.126,4.933,11.03,-0.1504,4.31,9.083,6.648,4.296,2.77,6.378,6.535,5.062,-0.6416,0.7321
TCGA-5P-A9K4-01,-4.293,-3.171,-0.9406,8.387,4.916,8.875,4.754,12.76,1.029,5.345,10.7,7.622,4.455,3.888,7.528,8.147,6.242,-2.466,0.3115
TCGA-VD-A8KE-01,-2.826,-1.781,4.724,-3.308,3.984,9.088,4.773,11.59,2.753,5.73,11.77,6.521,5.331,4.777,7.103,7.84,5.458,-9.966,0.4125
GTEX-N7MT-1426-SM-3LK5M,-5.574,-1.392,2.064,0.7579,3.286,9.031,5.98,11.85,0.5955,6.632,11.04,7.267,4.685,3.429,7.602,7.967,6.443,-1.181,3.448
TCGA-G4-6320-01,0.679,-4.293,-4.035,6.149,4.434,8.967,4.502,11.92,3.693,5.125,11.53,6.449,4.246,3.849,7.429,7.517,5.938,-9.966,0.8082
TCGA-56-A4BX-01,-2.932,-3.626,-0.3022,3.315,5.079,9.273,4.779,12.35,2.022,6.101,11.71,7.717,4.147,5.094,8.754,8.345,6.045,3.522,2.387
